id,user_query,bot_response,intent,specialty
1,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
2,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
3,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
4,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
5,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
6,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
7,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
8,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
9,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
10,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
11,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
12,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
13,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
14,I am worried all the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
15,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
16,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
17,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
18,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
19,I get angry very quickly,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
20,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
21,Should I take multivitamins daily?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
22,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
23,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
24,Who should I see for weight loss advice?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
25,Which specialist for knee pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
26,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
27,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
28,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
29,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
30,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
31,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
32,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
33,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
34,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
